council,count,author
Bayside,333,BaysideNSW
Blacktown,2989,blacktowncc
Blue Mountains,512,BlumtsCtyCncl
Burwood,2917,BurwoodCouncil
Camden,131,council_camden
Campbelltown,419,campbelltownnsw
Canada Bay,3826,CanadaBay
Canterbury-Bankstown,6214,ourcbcity
Cumberland,415,CumberlandSyd
Fairfield,4368,FairfieldCity
Georges River,3214,Georges_River
Hawkesbury,40,HawkGazetteNews
Hornsby,930,HornsbyCouncil
Hunters Hill,122,HHillCouncil
Inner West,8593,IWCouncil
Ku-ring-gai,4515,krgcouncil
Lane Cove,38,lanecovealp
Liverpool,1018,Lpool_Council
Mosman,1937,MosmanCouncil
North Sydney,1688,NthSydCouncil
Northern Beaches,10410,beachescouncil
Parramatta,7959,parracity
Penrith,3994,penrithcouncil
Randwick,4598,RandwickCouncil
Ryde,1771,CityofRyde
Strathfield,1806,StrathfieldMC
Sutherland Shire,2902,SuthShireCncl
Sydney,16082,cityofsydney
The Hills Shire,3697,TheHillsCouncil
Waverley,2888,WaverleyCouncil
Willoughby,1976,willoughbycity
Wollondilly,6139,wdillycouncil
Woollahra,973,whtsonwoollahra
